,zipcode,month,year,totalcustomers_elec,totalkwh,class_factor,combined_factor,num_farmers,num_residents,num_workers,num_officers,totalcustomers_gas,totalthm,gas_residential,gas_commercial
147,93662,2,2013,770,3969029,1,0,,,,770.0,775.0,302654.0,,302654.0
148,93662,3,2013,773,3927150,1,0,,,,773.0,455.0,100673.0,,100673.0
149,93703,2,2013,833,2722601,1,1,,,,833.0,598.0,115556.0,,115556.0
150,93703,3,2013,845,3131627,1,1,,,,845.0,587.0,75879.0,,75879.0
151,93704,2,2013,841,3478313,1,0,,,,841.0,,,,
152,93704,3,2013,848,3950496,1,0,,,,848.0,,,,
153,93706,2,2013,1792,9007773,1,0,,,,1792.0,1027.0,414333.0,,414333.0
154,93706,3,2013,1145,7601633,1,0,,,,1145.0,837.0,216229.0,,216229.0
155,93710,2,2013,1077,6504479,1,0,,,,1077.0,863.0,263508.0,,263508.0
156,93710,3,2013,1123,7916561,1,0,,,,1123.0,865.0,167197.0,,167197.0
157,93711,2,2013,1613,7001890,1,0,,,,1613.0,1151.0,223681.0,,223681.0
158,93711,3,2013,1620,8510966,1,0,,,,1620.0,1151.0,140724.0,,140724.0
159,93720,2,2013,1437,10697069,1,0,,,,1437.0,947.0,306085.0,,306085.0
160,93720,3,2013,1222,12303931,1,0,,,,1222.0,949.0,212366.0,,212366.0
161,93721,2,2013,1784,10766800,1,0,,,,1784.0,773.0,331264.0,,331264.0
162,93721,3,2013,1802,12508996,1,0,,,,1802.0,768.0,223330.0,,223330.0
163,93722,2,2013,1301,6384595,1,1,,,,1301.0,789.0,208714.0,,208714.0
164,93722,3,2013,1314,7169432,1,1,,,,1314.0,791.0,127878.0,,127878.0
165,93725,2,2013,872,7190746,1,0,,,,872.0,,,,
166,93725,3,2013,890,7994229,1,0,,,,890.0,,,,
167,93726,2,2013,811,4158135,1,1,,,,811.0,,,,
168,93726,3,2013,831,4859676,1,1,,,,831.0,,,,
169,93727,2,2013,1468,8225467,1,0,,,,1468.0,1329.0,401303.0,,401303.0
170,93727,3,2013,1487,9644027,1,0,,,,1487.0,,,,
171,93728,2,2013,595,1884212,1,1,,,,595.0,,,,
172,93728,3,2013,601,2032717,1,1,,,,601.0,,,,
173,93901,2,2013,1867,6834775,1,0,,,,1867.0,1050.0,385502.0,,385502.0
174,93901,3,2013,1904,8396929,1,0,,,,1904.0,1050.0,286189.0,,286189.0
